% 1. Title: Malware Detection Training Database
%
% 2. Sources : 
%    -- Thomas Philippart : https://github.com/TomasPhilippart/ebpfangel
%    -- Date: 5 April 2024
%
% 3. Relevant Information:
%      This is a dataset presenting ransomware detection systeme that combine eBPF and Machine Learning.
%      There are many features which correspond for the most of all to system call.
%      There is one label which indicate if the patterns used in feature is the behaviour of a malware or not.
%
% 4. Number of Instances: 1448
% 
% 5. Number of Attributes:
%    -- 43 features
%    -- 1 label
%
% 6. Attribute Information:
%    C correspond to Create pattern
%    D correspond to Delete pattern
%    E correspond to Encrypt pattern
%    P 
%    O correspond to Open pattern
%
%    1. PID: Process ID for a given process
%    2. C_max : Maximum number of create actions
%    3. C_sum : Number of create actions
%    4. D_max : Maximum number of delete actions
%    5. D_sum : Number of delete actions
%    6. E_max : Maximum number of encrypt actions
%    7. E_sum : Number of encrypt actions
%    8. O_max : Maximum number of open actions
%    9. O_sum  : Number of open actions
%    10. P_max : 
%    11. P_sum  : 
%    12. CCC : Create, Create, Create
%    13. CCD : Create, Create, Delete
%    14. CCO : Create, Create, Open
%    15. CDC : Create, Delete, Create
%    16. CDD : Create, Delete, Delete
%    17. CDO : Create, Delete, Open
%    18. COC : Create, Open, Create
%    19. COD : Create, Open, Delete
%    20. COO : Create, Open, Open
%    21. DCC : Delete, Create, Create
%    22. DCD : Delete, Create, Delete
%    23. DCO : Delete, Create, Open
%    24. DDC : Delete, Delete, Create
%    25. DDD : Create, Delete, Delete
%    26. DDO : Create, Delete, Open
%    27. DOC : Delete, Open, Create
%    28. DOD : Delete, Open, Delete
%    29. DOO : Delete, Open, Open
%    30. EEE : Encrypt, Encrypt, Encrypt
%    31. EEO : Encrypt, Encrypt, Open
%    32. EOE : Encrypt, Open, Encrypt
%    33. EOO : Encrypt, Open, Open
%    34. OCC : Open, Create, Create
%    35. OCD : Open, Create, Delete
%    36. OCO : Open, Create, Open
%    37. ODC : Open, Delete, Create
%    38. ODD : Open, Delete, Delete
%    39. ODO : Open, Delete, Open
%    40. OEE : Open, Encrypt, Encrypt
%    41. OOC : Open, Open, Create
%    42. OOD : Open, Open, Delete
%    43. OOO : Open, Open, Open
%    44. Labels : 1 if it's a malware 0 if not
%
% 7. Missing Attribute Values: E_max, E_sum, CDC, DCD, DCO, DDC, DOC, EEE, EEO, EOE, EOO, OEE
%
% 8. Class Distribution: (out of 1448 total instances)
%     -- 1434 not a Malware
%     -- 14 Malware
%

@relation training
@attribute PID numeric
@attribute C_max numeric
@attribute C_sum numeric
@attribute D_max numeric
@attribute D_sum numeric
@attribute E_max numeric
@attribute E_sum numeric
@attribute O_max numeric
@attribute O_sum numeric
@attribute P_max numeric
@attribute P_sum numeric
@attribute CCC numeric
@attribute CCD numeric
@attribute CCO numeric
@attribute CDC numeric
@attribute CDD numeric
@attribute CDO numeric
@attribute COC numeric
@attribute COD numeric
@attribute COO numeric
@attribute DCC numeric
@attribute DCD numeric
@attribute DCO numeric
@attribute DDC numeric
@attribute DDD numeric
@attribute DDO numeric
@attribute DOC numeric
@attribute DOD numeric
@attribute DOO numeric
@attribute EEE numeric
@attribute EEO numeric
@attribute EOE numeric
@attribute EOO numeric
@attribute OCC numeric
@attribute OCD numeric
@attribute OCO numeric
@attribute ODC numeric
@attribute ODD numeric
@attribute ODO numeric
@attribute OEE numeric
@attribute OOC numeric
@attribute OOD numeric
@attribute OOO numeric
@attribute Labels {0,1}
@data
50576.0,1.0,1.0,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
50585.0,4.0,10.0,0.0,0.0,?,?,6.0,52.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,5.0,0.0,5.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,10.0,0.0,0.0,0.0,?,5.0,0.0,35.0,0.0
50730.0,0.0,0.0,1.0,1.0,?,?,22.0,32.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,1.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,1.0,?,0.0,1.0,28.0,0.0
50750.0,0.0,0.0,0.0,0.0,?,?,2.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
50752.0,0.0,0.0,0.0,0.0,?,?,4.0,6.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,4.0,0.0
50756.0,0.0,0.0,0.0,0.0,?,?,6.0,12.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,10.0,0.0
50764.0,0.0,0.0,0.0,0.0,?,?,10.0,10.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,8.0,0.0
50994.0,0.0,0.0,0.0,0.0,?,?,2.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
51031.0,0.0,0.0,0.0,0.0,?,?,1.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
51170.0,0.0,0.0,0.0,0.0,?,?,2.0,6.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,4.0,0.0
51174.0,0.0,0.0,0.0,0.0,?,?,5.0,15.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,13.0,0.0
51380.0,0.0,0.0,0.0,0.0,?,?,35.0,65.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,63.0,0.0
51470.0,0.0,0.0,0.0,0.0,?,?,1.0,1.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
51490.0,0.0,0.0,0.0,0.0,?,?,4.0,8.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,6.0,0.0
53830.0,0.0,0.0,0.0,0.0,?,?,19.0,19.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,17.0,0.0
53831.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53832.0,699.0,40464.0,0.0,0.0,?,?,705.0,42260.0,0.0,0.0,2255.0,0.0,9800.0,?,0.0,0.0,18358.0,0.0,10049.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,9801.0,0.0,18607.0,0.0,0.0,0.0,?,10050.0,0.0,3802.0,0.0
53833.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53834.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53835.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53836.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53837.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53838.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53840.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53845.0,1.0,1.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,1.0,0.0,0.0,0.0
53846.0,0.0,0.0,0.0,0.0,?,?,414.0,414.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,412.0,0.0
53847.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53849.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53850.0,0.0,0.0,0.0,0.0,?,?,35.0,35.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,33.0,0.0
53851.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53854.0,0.0,0.0,0.0,0.0,?,?,281.0,281.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,279.0,0.0
53855.0,0.0,0.0,0.0,0.0,?,?,15.0,15.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,13.0,0.0
53856.0,0.0,0.0,0.0,0.0,?,?,20.0,20.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,18.0,0.0
53857.0,1.0,1.0,0.0,0.0,?,?,343.0,344.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,1.0,0.0,342.0,0.0
53861.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53862.0,0.0,0.0,0.0,0.0,?,?,418.0,418.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,416.0,0.0
53863.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53865.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53866.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53867.0,0.0,0.0,0.0,0.0,?,?,418.0,418.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,416.0,0.0
53868.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53870.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53871.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53872.0,0.0,0.0,0.0,0.0,?,?,418.0,418.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,416.0,0.0
53873.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53875.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53876.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53877.0,0.0,0.0,0.0,0.0,?,?,418.0,418.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,416.0,0.0
53878.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53880.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53881.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53882.0,0.0,0.0,0.0,0.0,?,?,418.0,418.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,416.0,0.0
53883.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53885.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53887.0,1.0,1.0,1.0,1.0,?,?,739.0,1148.0,1.0,1.0,0.0,0.0,0.0,?,0.0,1.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,1.0,?,?,?,?,0.0,1.0,0.0,0.0,0.0,0.0,?,1.0,0.0,1144.0,0.0
53888.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53889.0,0.0,0.0,0.0,0.0,?,?,416.0,416.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,414.0,0.0
53890.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53892.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53893.0,0.0,0.0,0.0,0.0,?,?,26.0,26.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,24.0,0.0
53896.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53897.0,0.0,0.0,0.0,0.0,?,?,414.0,414.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,412.0,0.0
53898.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53900.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53902.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53903.0,0.0,0.0,0.0,0.0,?,?,416.0,416.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,414.0,0.0
53904.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53906.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53907.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53908.0,0.0,0.0,0.0,0.0,?,?,416.0,416.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,414.0,0.0
53909.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53911.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53912.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53913.0,0.0,0.0,0.0,0.0,?,?,416.0,416.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,414.0,0.0
53914.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53916.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
53917.0,0.0,0.0,0.0,0.0,?,?,3.0,3.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,1.0,0.0
53918.0,0.0,0.0,0.0,0.0,?,?,416.0,416.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,414.0,0.0
53919.0,0.0,0.0,0.0,0.0,?,?,2.0,2.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0
53921.0,0.0,0.0,0.0,0.0,?,?,4.0,4.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,?,?,0.0,0.0,?,0.0,0.0,?,?,?,?,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,2.0,0.0
