PID,C_max,C_sum,D_max,D_sum,E_max,E_sum,O_max,O_sum,P_max,P_sum,CCC,CCD,CCO,CDC,CDD,CDO,COC,COD,COO,DCC,DCD,DCO,DDC,DDD,DDO,DOC,DOD,DOO,EEE,EEO,EOE,EOO,OCC,OCD,OCO,ODC,ODD,ODO,OEE,OOC,OOD,OOO,Labels
3704.0,0,0,0,0,,,55,55,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,53,0
3705.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
3706.0,3,3,0,0,,,21,21,0,0,1,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,1,0,0,0,0,0,,1,0,19,0
3707.0,0,0,0,0,,,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
3708.0,0,0,0,0,,,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
3709.0,0,0,0,0,,,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
3711.0,0,0,0,0,,,167,167,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,165,0
3713.0,1,1,0,0,,,251,251,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,1,0,0,0,,1,0,248,0
3717.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
3719.0,1,1,0,0,,,27,27,0,0,0,0,0,,0,0,0,0,1,0,,,,0,0,,0,0,,,,,0,0,1,0,0,0,,1,0,23,0
3720.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
3721.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
3723.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
3724.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
3725.0,0,0,0,0,,,13,13,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,11,0
3726.0,0,0,0,0,,,9,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
3727.0,0,0,0,0,,,13,13,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,11,0
10001.0,0,0,0,0,,,2,13,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,11,0
10257.0,0,0,1,1,,,11,103,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,1,,,,,0,0,0,0,0,1,,0,1,99,0
10523.0,0,0,0,0,,,1,8,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,6,0
10532.0,0,0,0,0,,,1,8,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,6,0
10585.0,3,3,0,0,,,5,17,0,0,0,0,0,,0,0,2,0,1,0,,,,0,0,,0,0,,,,,0,0,3,0,0,0,,1,0,11,0
10730.0,0,0,1,1,,,5,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,1,,,,,0,0,0,0,0,1,,0,1,6,0
10737.0,0,0,0,0,,,6,7,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,5,0
10750.0,0,0,0,0,,,2,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
10752.0,0,0,0,0,,,4,8,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,6,0
10756.0,0,0,0,0,,,6,12,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,10,0
10775.0,0,0,0,0,,,10,20,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,18,0
10994.0,0,0,0,0,,,2,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
11031.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
11174.0,0,0,0,0,,,5,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
11380.0,0,0,0,0,,,39,87,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,85,0
11470.0,0,0,0,0,,,10,11,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,9,0
13109.0,0,0,0,0,,,19,19,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,17,0
13110.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
13111.0,0,0,0,0,,,9,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
13113.0,1,1,2,2,,,7,7,1,1,0,0,0,,1,0,0,0,0,0,,,,0,0,,0,0,,,,,0,1,0,0,0,0,,1,0,5,0
13114.0,126,696,0,0,,,666,2743,0,0,4,0,4,,0,0,523,0,164,0,,,,0,0,,0,0,,,,,4,0,683,0,0,0,,164,0,1891,1
13115.0,220,1030,0,0,,,850,4133,0,0,0,0,3,,0,0,822,0,204,0,,,,0,0,,0,0,,,,,3,0,1024,0,0,0,,204,0,2901,1
13116.0,431,1258,0,0,,,832,3599,0,0,0,0,6,,0,0,1089,0,162,0,,,,0,0,,0,0,,,,,6,0,1246,0,0,0,,162,0,2184,1
13117.0,243,1069,0,0,,,1203,4250,0,0,1,0,2,,0,0,882,0,183,0,,,,0,0,,0,0,,,,,2,0,1064,0,0,0,,183,0,3000,1
13118.0,299,1073,0,0,,,755,4536,0,0,0,0,3,,0,0,864,0,205,0,,,,0,0,,0,0,,,,,3,0,1066,0,0,0,,205,0,3261,1
13119.0,109,600,0,0,,,509,3925,0,0,0,0,4,,0,0,499,0,96,0,,,,0,0,,0,0,,,,,4,0,591,0,0,0,,96,0,3233,1
13120.0,224,1025,0,0,,,424,3203,0,0,1,0,3,,0,0,871,0,149,0,,,,0,0,,0,0,,,,,3,0,1018,0,0,0,,149,0,2032,1
13121.0,129,689,0,0,,,565,2740,0,0,0,0,3,,0,0,574,0,111,0,,,,0,0,,0,0,,,,,3,0,683,0,0,0,,111,0,1942,1
13122.0,0,0,0,0,,,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
13131.0,1,1,0,0,,,599,600,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,1,0,598,0
13134.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
13136.0,1,1,1,1,,,575,984,1,1,0,0,0,,0,1,0,0,0,0,,,,0,0,,0,1,,,,,0,1,0,0,0,0,,1,0,980,0
13137.0,0,0,0,0,,,26,26,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,24,0
13140.0,0,0,0,0,,,9,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
20001.0,0,0,1,1,,,101,192,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,1,,,,,0,0,0,0,0,1,,0,1,188,0
20257.0,1,1,1,2,,,29,449,0,0,0,0,0,,0,0,0,0,1,0,,,,0,0,,0,2,,,,,0,0,1,0,0,2,,1,2,441,0
20523.0,0,0,0,0,,,1,30,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,28,0
20532.0,0,0,0,0,,,1,30,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,28,0
20574.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
20576.0,1,1,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
20585.0,3,8,0,0,,,5,70,0,0,0,0,0,,0,0,4,0,3,0,,,,0,0,,0,0,,,,,0,0,7,0,0,0,,4,0,58,0
20730.0,0,0,1,1,,,22,32,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,1,,,,,0,0,0,0,0,1,,0,1,28,0
20737.0,0,0,0,0,,,6,7,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,5,0
20750.0,0,0,0,0,,,2,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
20752.0,0,0,0,0,,,4,6,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,4,0
20756.0,0,0,0,0,,,6,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
20764.0,0,0,0,0,,,10,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
20775.0,0,0,0,0,,,10,20,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,18,0
20994.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
21031.0,0,0,0,0,,,3,8,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,6,0
21170.0,0,0,0,0,,,2,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
21174.0,0,0,0,0,,,5,25,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,23,0
21380.0,0,0,0,0,,,21,77,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,75,0
21470.0,0,0,0,0,,,1,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
21490.0,0,0,0,0,,,8,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
23699.0,0,0,0,0,,,19,19,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,17,0
23700.0,4,4,0,0,,,13,13,0,0,0,0,1,,0,0,1,0,0,0,,,,0,0,,0,0,,,,,2,0,0,0,0,0,,1,0,10,0
23701.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23702.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23703.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23704.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23705.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23706.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23707.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23708.0,0,0,0,0,,,416,416,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,414,0
23709.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23711.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23712.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23713.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23714.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23715.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23717.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23719.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23722.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23723.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23724.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23725.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23728.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23731.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23733.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23742.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23743.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23744.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23745.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23746.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23747.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23748.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23749.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23750.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23751.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23752.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23753.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23754.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23755.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23756.0,0,0,0,0,,,6,6,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,4,0
23757.0,0,0,0,0,,,6,6,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,4,0
23758.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23759.0,0,0,0,0,,,9,9,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,7,0
23760.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23762.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23763.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23764.0,729,49516,0,0,,,729,51627,0,0,2688,0,12234,,0,0,22017,0,12575,0,,,,0,0,,0,0,,,,,12235,0,22358,0,0,0,,12576,0,4458,1
23765.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23766.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23767.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23768.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23769.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23770.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23771.0,0,0,0,0,,,3,3,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,1,0
23772.0,0,0,0,0,,,416,416,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,414,0
23773.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
23775.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
23776.0,0,0,0,0,,,9,30,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,28,0
23777.0,0,0,0,0,,,11,33,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,31,0
23778.0,0,0,0,0,,,9,24,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,22,0
23779.0,0,0,0,0,,,15,30,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,28,0
23780.0,0,0,0,0,,,13,42,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,40,0
23781.0,0,0,0,0,,,15,33,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,31,0
23782.0,0,0,0,0,,,16,45,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,43,0
23783.0,0,0,0,0,,,19,45,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,43,0
23784.0,0,0,0,0,,,12,36,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,34,0
23785.0,0,0,0,0,,,18,42,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,40,0
23786.0,0,0,0,0,,,15,54,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,52,0
23787.0,0,0,0,0,,,15,39,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,37,0
